Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,1
Sample Interval,0.008
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-8.000e+00,0.0056
-7.992e+00,0.0056
-7.984e+00,0.0032
-7.976e+00,0.0032
-7.968e+00,0.0064
-7.960e+00,0.0064
-7.952e+00,0.0072
-7.944e+00,0.004
-7.936e+00,0.0064
-7.928e+00,0.0064
-7.920e+00,0.0056
-7.912e+00,0.004
-7.904e+00,0.0056
-7.896e+00,0.0064
-7.888e+00,0.004
-7.880e+00,0.0048
-7.872e+00,0.004
-7.864e+00,0.0032
-7.856e+00,0.0056
-7.848e+00,0.0056
-7.840e+00,0.0048
-7.832e+00,0.0056
-7.824e+00,0.0056
-7.816e+00,0.0056
-7.808e+00,0.0048
-7.800e+00,0.0056
-7.792e+00,0.0056
-7.784e+00,0.0064
-7.776e+00,0.0048
-7.768e+00,0.0048
-7.760e+00,0.004
-7.752e+00,0.0064
-7.744e+00,0.0056
-7.736e+00,0.0048
-7.728e+00,0.0048
-7.720e+00,0.008
-7.712e+00,0.004
-7.704e+00,0.0056
-7.696e+00,0.0064
-7.688e+00,0.0048
-7.680e+00,0.0048
-7.672e+00,0.0048
-7.664e+00,0.0064
-7.656e+00,0.0032
-7.648e+00,0.0064
-7.640e+00,0.008
-7.632e+00,0.0056
-7.624e+00,0.004
-7.616e+00,0.0056
-7.608e+00,0.004
-7.600e+00,0.0056
-7.592e+00,0.004
-7.584e+00,0.0064
-7.576e+00,0.0064
-7.568e+00,0.0064
-7.560e+00,0.0056
-7.552e+00,0.0072
-7.544e+00,0.0064
-7.536e+00,0.0064
-7.528e+00,0.0056
-7.520e+00,0.0048
-7.512e+00,0.0072
-7.504e+00,0.0064
-7.496e+00,0.0064
-7.488e+00,0.0056
-7.480e+00,0.0064
-7.472e+00,0.0056
-7.464e+00,0.0064
-7.456e+00,0.0056
-7.448e+00,0.0048
-7.440e+00,0.004
-7.432e+00,0.0072
-7.424e+00,0.0048
-7.416e+00,0.0056
-7.408e+00,0.0048
-7.400e+00,0.0024
-7.392e+00,0.0072
-7.384e+00,0.0056
-7.376e+00,0.0032
-7.368e+00,0.0056
-7.360e+00,0.0064
-7.352e+00,0.0048
-7.344e+00,0.0048
-7.336e+00,0.0056
-7.328e+00,0.0048
-7.320e+00,0.0048
-7.312e+00,0.0064
-7.304e+00,0.0032
-7.296e+00,0.0064
-7.288e+00,0.0032
-7.280e+00,0.0056
-7.272e+00,0.0032
-7.264e+00,0.0048
-7.256e+00,0.0032
-7.248e+00,0.0056
-7.240e+00,0.0048
-7.232e+00,0.0048
-7.224e+00,0.0032
-7.216e+00,0.0072
-7.208e+00,0.0064
-7.200e+00,0.0048
-7.192e+00,0.0048
-7.184e+00,0.0032
-7.176e+00,0.0048
-7.168e+00,0.0024
-7.160e+00,0.004
-7.152e+00,0.0056
-7.144e+00,0.0056
-7.136e+00,0.0056
-7.128e+00,0.0056
-7.120e+00,0.0056
-7.112e+00,0.004
-7.104e+00,0.0072
-7.096e+00,0.0072
-7.088e+00,0.0072
-7.080e+00,0.004
-7.072e+00,0.0072
-7.064e+00,0.0072
-7.056e+00,0.0056
-7.048e+00,0.0056
-7.040e+00,0.0056
-7.032e+00,0.0072
-7.024e+00,0.004
-7.016e+00,0.0056
-7.008e+00,0.0064
-7.000e+00,0.004
-6.992e+00,0.0064
-6.984e+00,0.0064
-6.976e+00,0.004
-6.968e+00,0.004
-6.960e+00,0.0064
-6.952e+00,0.0064
-6.944e+00,0.0056
-6.936e+00,0.0056
-6.928e+00,0.0072
-6.920e+00,0.0032
-6.912e+00,0.008
-6.904e+00,0.008
-6.896e+00,0.0048
-6.888e+00,0.0048
-6.880e+00,0.0064
-6.872e+00,0.0048
-6.864e+00,0.0056
-6.856e+00,0.0048
-6.848e+00,0.0048
-6.840e+00,0.004
-6.832e+00,0.0072
-6.824e+00,0.0064
-6.816e+00,0.0072
-6.808e+00,0.0048
-6.800e+00,0.0064
-6.792e+00,0.0064
-6.784e+00,0.0064
-6.776e+00,0.0056
-6.768e+00,0.0056
-6.760e+00,0.0064
-6.752e+00,0.0088
-6.744e+00,0.0048
-6.736e+00,0.0056
-6.728e+00,0.0056
-6.720e+00,0.004
-6.712e+00,0.0048
-6.704e+00,0.0056
-6.696e+00,0.0056
-6.688e+00,0.0056
-6.680e+00,0.0064
-6.672e+00,0.0056
-6.664e+00,0.004
-6.656e+00,0.0048
-6.648e+00,0.004
-6.640e+00,0.0064
-6.632e+00,0.0064
-6.624e+00,0.0048
-6.616e+00,0.0064
-6.608e+00,0.0056
-6.600e+00,0.0048
-6.592e+00,0.0064
-6.584e+00,0.0056
-6.576e+00,0.0064
-6.568e+00,0.0048
-6.560e+00,0.0056
-6.552e+00,0.0032
-6.544e+00,0.0056
-6.536e+00,0.0056
-6.528e+00,0.0056
-6.520e+00,0.0056
-6.512e+00,0.008
-6.504e+00,0.0072
-6.496e+00,0.0048
-6.488e+00,0.0064
-6.480e+00,0.0048
-6.472e+00,0.0064
-6.464e+00,0.0024
-6.456e+00,0.004
-6.448e+00,0.0056
-6.440e+00,0.004
-6.432e+00,0.0064
-6.424e+00,0.008
-6.416e+00,0.0056
-6.408e+00,0.0064
-6.400e+00,0.0072
-6.392e+00,0.0064
-6.384e+00,0.0032
-6.376e+00,0.0064
-6.368e+00,0.0064
-6.360e+00,0.0064
-6.352e+00,0.0072
-6.344e+00,0.004
-6.336e+00,0.0072
-6.328e+00,0.000800002
-6.320e+00,0.0056
-6.312e+00,0.004
-6.304e+00,0.004
-6.296e+00,0.004
-6.288e+00,0.004
-6.280e+00,0.0064
-6.272e+00,0.0064
-6.264e+00,0.0064
-6.256e+00,0.0048
-6.248e+00,0.0048
-6.240e+00,0.0064
-6.232e+00,0.008
-6.224e+00,0.004
-6.216e+00,0.0056
-6.208e+00,0.0056
-6.200e+00,0.0048
-6.192e+00,0.0072
-6.184e+00,0.0048
-6.176e+00,0.0064
-6.168e+00,0.0032
-6.160e+00,0.0048
-6.152e+00,0.0056
-6.144e+00,0.0024
-6.136e+00,0.0072
-6.128e+00,0.0056
-6.120e+00,0.0056
-6.112e+00,0.0048
-6.104e+00,0.0048
-6.096e+00,0.0064
-6.088e+00,0.0072
-6.080e+00,0.0032
-6.072e+00,0.0064
-6.064e+00,0.0064
-6.056e+00,0.0064
-6.048e+00,0.004
-6.040e+00,0.0056
-6.032e+00,0.004
-6.024e+00,0.0056
-6.016e+00,0.0064
-6.008e+00,0.0064
-6.000e+00,0.0048
-5.992e+00,0.0056
-5.984e+00,0.0064
-5.976e+00,0.0056
-5.968e+00,0.0056
-5.960e+00,0.0056
-5.952e+00,0.0056
-5.944e+00,0.0056
-5.936e+00,0.0048
-5.928e+00,0.008
-5.920e+00,0.0048
-5.912e+00,0.0056
-5.904e+00,0.004
-5.896e+00,0.0072
-5.888e+00,0.0048
-5.880e+00,0.0048
-5.872e+00,0.0056
-5.864e+00,0.004
-5.856e+00,0.0064
-5.848e+00,0.0056
-5.840e+00,0.0072
-5.832e+00,0.0056
-5.824e+00,0.0056
-5.816e+00,0.0064
-5.808e+00,0.0064
-5.800e+00,0.0072
-5.792e+00,0.0096
-5.784e+00,0.0056
-5.776e+00,0.0056
-5.768e+00,0.0048
-5.760e+00,0.0088
-5.752e+00,0.0048
-5.744e+00,0.0064
-5.736e+00,0.0056
-5.728e+00,0.0072
-5.720e+00,0.0072
-5.712e+00,0.0064
-5.704e+00,0.0064
-5.696e+00,0.0056
-5.688e+00,0.0056
-5.680e+00,0.0032
-5.672e+00,0.0064
-5.664e+00,0.0048
-5.656e+00,0.0072
-5.648e+00,0.0056
-5.640e+00,0.0064
-5.632e+00,0.0056
-5.624e+00,0.0032
-5.616e+00,0.0048
-5.608e+00,0.004
-5.600e+00,0.0048
-5.592e+00,0.0056
-5.584e+00,0.0064
-5.576e+00,0.0064
-5.568e+00,0.0048
-5.560e+00,0.0056
-5.552e+00,0.004
-5.544e+00,0.004
-5.536e+00,0.004
-5.528e+00,0.0088
-5.520e+00,0.0056
-5.512e+00,0.0064
-5.504e+00,0.008
-5.496e+00,0.0048
-5.488e+00,0.0056
-5.480e+00,0.0064
-5.472e+00,0.0056
-5.464e+00,0.0064
-5.456e+00,0.0064
-5.448e+00,0.0064
-5.440e+00,0.0056
-5.432e+00,0.0048
-5.424e+00,0.0048
-5.416e+00,0.0056
-5.408e+00,0.0064
-5.400e+00,0.0056
-5.392e+00,0.0032
-5.384e+00,0.004
-5.376e+00,0.0072
-5.368e+00,0.0048
-5.360e+00,0.0032
-5.352e+00,0.0072
-5.344e+00,0.0048
-5.336e+00,0.0064
-5.328e+00,0.0048
-5.320e+00,0.0056
-5.312e+00,0.0056
-5.304e+00,0.0048
-5.296e+00,0.0056
-5.288e+00,0.0056
-5.280e+00,0.0024
-5.272e+00,0.0072
-5.264e+00,0.0056
-5.256e+00,0.008
-5.248e+00,0.0064
-5.240e+00,0.0056
-5.232e+00,0.0048
-5.224e+00,0.0056
-5.216e+00,0.0072
-5.208e+00,0.0064
-5.200e+00,0.0048
-5.192e+00,0.004
-5.184e+00,0.0064
-5.176e+00,0.0048
-5.168e+00,0.0072
-5.160e+00,0.0064
-5.152e+00,0.0064
-5.144e+00,0.0056
-5.136e+00,0.0064
-5.128e+00,0.0064
-5.120e+00,0.0048
-5.112e+00,0.0056
-5.104e+00,0.008
-5.096e+00,0.0048
-5.088e+00,0.0048
-5.080e+00,0.0048
-5.072e+00,0.0048
-5.064e+00,0.0048
-5.056e+00,0.0056
-5.048e+00,0.0048
-5.040e+00,0.0056
-5.032e+00,0.0056
-5.024e+00,0.0072
-5.016e+00,0.0072
-5.008e+00,0.0064
-5.000e+00,0.0056
-4.992e+00,0.0032
