Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0032
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-3.200e+00,0.0112
-3.197e+00,0.0104
-3.194e+00,0.0104
-3.190e+00,0.0112
-3.187e+00,0.0096
-3.184e+00,0.0112
-3.181e+00,0.0112
-3.178e+00,0.0112
-3.174e+00,0.008
-3.171e+00,0.0112
-3.168e+00,0.0128
-3.165e+00,0.0104
-3.162e+00,0.0088
-3.158e+00,0.0088
-3.155e+00,0.0112
-3.152e+00,0.0104
-3.149e+00,0.0104
-3.146e+00,0.012
-3.142e+00,0.0104
-3.139e+00,0.0096
-3.136e+00,0.0104
-3.133e+00,0.0112
-3.130e+00,0.0096
-3.126e+00,0.0112
-3.123e+00,0.0096
-3.120e+00,0.0104
-3.117e+00,0.008
-3.114e+00,0.0104
-3.110e+00,0.0104
-3.107e+00,0.0104
-3.104e+00,0.0112
-3.101e+00,0.0088
-3.098e+00,0.012
-3.094e+00,0.0088
-3.091e+00,0.012
-3.088e+00,0.0112
-3.085e+00,0.0096
-3.082e+00,0.0112
-3.078e+00,0.0112
-3.075e+00,0.0096
-3.072e+00,0.0096
-3.069e+00,0.0112
-3.066e+00,0.0104
-3.062e+00,0.008
-3.059e+00,0.0104
-3.056e+00,0.0096
-3.053e+00,0.0088
-3.050e+00,0.0096
-3.046e+00,0.0104
-3.043e+00,0.0112
-3.040e+00,0.008
-3.037e+00,0.0096
-3.034e+00,0.0096
-3.030e+00,0.0128
-3.027e+00,0.0104
-3.024e+00,0.0096
-3.021e+00,0.0088
-3.018e+00,0.0104
-3.014e+00,0.0104
-3.011e+00,0.0088
-3.008e+00,0.0088
-3.005e+00,0.0096
-3.002e+00,0.0112
-2.998e+00,0.0104
-2.995e+00,0.0104
-2.992e+00,0.0112
-2.989e+00,0.0088
-2.986e+00,0.0088
-2.982e+00,0.0096
-2.979e+00,0.0104
-2.976e+00,0.0088
-2.973e+00,0.0104
-2.970e+00,0.0096
-2.966e+00,0.0096
-2.963e+00,0.0096
-2.960e+00,0.0088
-2.957e+00,0.012
-2.954e+00,0.0112
-2.950e+00,0.0112
-2.947e+00,0.0096
-2.944e+00,0.0128
-2.941e+00,0.0088
-2.938e+00,0.0088
-2.934e+00,0.0088
-2.931e+00,0.0104
-2.928e+00,0.0096
-2.925e+00,0.0104
-2.922e+00,0.012
-2.918e+00,0.0128
-2.915e+00,0.0096
-2.912e+00,0.0112
-2.909e+00,0.0096
-2.906e+00,0.0104
-2.902e+00,0.0104
-2.899e+00,0.0104
-2.896e+00,0.0088
-2.893e+00,0.0096
-2.890e+00,0.0096
-2.886e+00,0.0104
-2.883e+00,0.0104
-2.880e+00,0.0128
-2.877e+00,0.0112
-2.874e+00,0.0112
-2.870e+00,0.0128
-2.867e+00,0.0112
-2.864e+00,0.0112
-2.861e+00,0.0128
-2.858e+00,0.0136
-2.854e+00,0.012
-2.851e+00,0.0112
-2.848e+00,0.0112
-2.845e+00,0.008
-2.842e+00,0.0104
-2.838e+00,0.0112
-2.835e+00,0.008
-2.832e+00,0.0128
-2.829e+00,0.0112
-2.826e+00,0.0096
-2.822e+00,0.0104
-2.819e+00,0.0112
-2.816e+00,0.0104
-2.813e+00,0.0104
-2.810e+00,0.0104
-2.806e+00,0.0088
-2.803e+00,0.0096
-2.800e+00,0.0104
-2.797e+00,0.0096
-2.794e+00,0.012
-2.790e+00,0.0096
-2.787e+00,0.0096
-2.784e+00,0.012
-2.781e+00,0.0088
-2.778e+00,0.0104
-2.774e+00,0.0088
-2.771e+00,0.0104
-2.768e+00,0.0112
-2.765e+00,0.0136
-2.762e+00,0.0128
-2.758e+00,0.0104
-2.755e+00,0.0104
-2.752e+00,0.0104
-2.749e+00,0.0096
-2.746e+00,0.0136
-2.742e+00,0.0088
-2.739e+00,0.0104
-2.736e+00,0.0088
-2.733e+00,0.0112
-2.730e+00,0.0104
-2.726e+00,0.0112
-2.723e+00,0.0096
-2.720e+00,0.008
-2.717e+00,0.0112
-2.714e+00,0.0104
-2.710e+00,0.0104
-2.707e+00,0.0088
-2.704e+00,0.0088
-2.701e+00,0.0096
-2.698e+00,0.0096
-2.694e+00,0.012
-2.691e+00,0.0104
-2.688e+00,0.0112
-2.685e+00,0.0104
-2.682e+00,0.0104
-2.678e+00,0.012
-2.675e+00,0.0096
-2.672e+00,0.0112
-2.669e+00,0.0088
-2.666e+00,0.0096
-2.662e+00,0.0088
-2.659e+00,0.0088
-2.656e+00,0.0112
-2.653e+00,0.0112
-2.650e+00,0.0104
-2.646e+00,0.0112
-2.643e+00,0.0104
-2.640e+00,0.0088
-2.637e+00,0.012
-2.634e+00,0.0096
-2.630e+00,0.0096
-2.627e+00,0.0096
-2.624e+00,0.0104
-2.621e+00,0.0112
-2.618e+00,0.0112
-2.614e+00,0.0112
-2.611e+00,0.012
-2.608e+00,0.0088
-2.605e+00,0.012
-2.602e+00,0.0112
-2.598e+00,0.012
-2.595e+00,0.0088
-2.592e+00,0.0104
-2.589e+00,0.0104
-2.586e+00,0.0096
-2.582e+00,0.0096
-2.579e+00,0.008
-2.576e+00,0.0088
-2.573e+00,0.0096
-2.570e+00,0.0104
-2.566e+00,0.0104
-2.563e+00,0.0104
-2.560e+00,0.0112
-2.557e+00,0.0096
-2.554e+00,0.008
-2.550e+00,0.0096
-2.547e+00,0.0112
-2.544e+00,0.0104
-2.541e+00,0.008
-2.538e+00,0.0096
-2.534e+00,0.0112
-2.531e+00,0.0096
-2.528e+00,0.012
-2.525e+00,0.0112
-2.522e+00,0.0104
-2.518e+00,0.0088
-2.515e+00,0.0096
-2.512e+00,0.008
-2.509e+00,0.0104
-2.506e+00,0.0104
-2.502e+00,0.0096
-2.499e+00,0.012
-2.496e+00,0.0112
-2.493e+00,0.0072
-2.490e+00,0.0112
-2.486e+00,0.0096
-2.483e+00,0.012
-2.480e+00,0.0104
-2.477e+00,0.0128
-2.474e+00,0.0136
-2.470e+00,0.0104
-2.467e+00,0.0088
-2.464e+00,0.0112
-2.461e+00,0.012
-2.458e+00,0.0104
-2.454e+00,0.0128
-2.451e+00,0.0112
-2.448e+00,0.012
-2.445e+00,0.0104
-2.442e+00,0.0096
-2.438e+00,0.0112
-2.435e+00,0.0096
-2.432e+00,0.008
-2.429e+00,0.0104
-2.426e+00,0.0104
-2.422e+00,0.012
-2.419e+00,0.0088
-2.416e+00,0.012
-2.413e+00,0.0104
-2.410e+00,0.0112
-2.406e+00,0.0088
-2.403e+00,0.0104
-2.400e+00,0.0104
-2.397e+00,0.012
-2.394e+00,0.012
-2.390e+00,0.0104
-2.387e+00,0.0112
-2.384e+00,0.0112
-2.381e+00,0.0128
-2.378e+00,0.0104
-2.374e+00,0.0112
-2.371e+00,0.0112
-2.368e+00,0.0104
-2.365e+00,0.0104
-2.362e+00,0.0112
-2.358e+00,0.0104
-2.355e+00,0.0112
-2.352e+00,0.0088
-2.349e+00,0.0128
-2.346e+00,0.012
-2.342e+00,0.0104
-2.339e+00,0.0096
-2.336e+00,0.0096
-2.333e+00,0.0096
-2.330e+00,0.0096
-2.326e+00,0.0096
-2.323e+00,0.0104
-2.320e+00,0.0112
-2.317e+00,0.0104
-2.314e+00,0.0096
-2.310e+00,0.0104
-2.307e+00,0.0096
-2.304e+00,0.0128
-2.301e+00,0.0104
-2.298e+00,0.0136
-2.294e+00,0.0128
-2.291e+00,0.0104
-2.288e+00,0.0096
-2.285e+00,0.012
-2.282e+00,0.0104
-2.278e+00,0.012
-2.275e+00,0.012
-2.272e+00,0.0104
-2.269e+00,0.012
-2.266e+00,0.0096
-2.262e+00,0.012
-2.259e+00,0.008
-2.256e+00,0.0104
-2.253e+00,0.0096
-2.250e+00,0.0104
-2.246e+00,0.0128
-2.243e+00,0.0112
-2.240e+00,0.012
-2.237e+00,0.0104
-2.234e+00,0.012
-2.230e+00,0.012
-2.227e+00,0.008
-2.224e+00,0.0104
-2.221e+00,0.0088
-2.218e+00,0.0104
-2.214e+00,0.012
-2.211e+00,0.0096
-2.208e+00,0.0136
-2.205e+00,0.0104
-2.202e+00,0.0088
-2.198e+00,0.0088
-2.195e+00,0.0104
-2.192e+00,0.0088
-2.189e+00,0.0128
-2.186e+00,0.0112
-2.182e+00,0.0112
-2.179e+00,0.0096
-2.176e+00,0.012
-2.173e+00,0.0096
-2.170e+00,0.0096
-2.166e+00,0.0112
-2.163e+00,0.0112
-2.160e+00,0.0088
-2.157e+00,0.0112
-2.154e+00,0.0096
-2.150e+00,0.0096
-2.147e+00,0.012
-2.144e+00,0.0112
-2.141e+00,0.0112
-2.138e+00,0.0112
-2.134e+00,0.012
-2.131e+00,0.012
-2.128e+00,0.0128
-2.125e+00,0.0112
-2.122e+00,0.0112
-2.118e+00,0.0112
-2.115e+00,0.0112
-2.112e+00,0.0112
-2.109e+00,0.0104
-2.106e+00,0.0128
-2.102e+00,0.012
-2.099e+00,0.0096
-2.096e+00,0.0128
-2.093e+00,0.0112
-2.090e+00,0.008
-2.086e+00,0.0088
-2.083e+00,0.0104
-2.080e+00,0.0104
-2.077e+00,0.0104
-2.074e+00,0.0112
-2.070e+00,0.0104
-2.067e+00,0.0112
-2.064e+00,0.0096
-2.061e+00,0.012
-2.058e+00,0.0112
-2.054e+00,0.012
-2.051e+00,0.0096
-2.048e+00,0.0096
-2.045e+00,0.012
-2.042e+00,0.0104
-2.038e+00,0.0112
-2.035e+00,0.0088
-2.032e+00,0.0096
-2.029e+00,0.008
-2.026e+00,0.0096
-2.022e+00,0.008
-2.019e+00,0.0088
-2.016e+00,0.0088
-2.013e+00,0.0112
-2.010e+00,0.0096
-2.006e+00,0.0096
-2.003e+00,0.0104
-2.000e+00,0.0096
-1.997e+00,0.0088
